id_wikidata	materia
Q9358	Filosofía
Q9391	Filosofía
Q93996	Filosofía
Q9438	Filosofía
Q101965	Física
Q102205	Física
Q1056761	Física
Q1068091	Física
Q107715	Física
Q11376	Física
Q11382	Física
Q11402	Física
Q11412	Física
Q11423	Física
Q11435	Física
Q11438	Física
Q11465	Física
Q11466	Física
Q11476	Física
Q11500	Física
Q117701	Física
Q1185557	Física
Q12089457	Física
Q12457	Física
Q128709	Física
Q1403517	Física
Q14620	Física
Q161254	Física
Q161462	Física
Q161635	Física
Q165939	Física
Q170749	Física
Q172881	Física
Q178192	Física
Q178733	Física
Q179388	Física
Q17996169	Física
Q181175	Física
Q181328	Física
Q181365	Física
Q181404	Física
Q184550	Física
Q184876	Física
Q185357	Física
Q186300	Física
Q190070	Física
Q190291	Física
Q192388	Física
Q192735	Física
Q192788	Física
Q193846	Física
Q196538	Física
Q2035846	Física
Q20702	Física
Q210546	Física
Q212126	Física
Q215007	Física
Q216320	Física
Q217113	Física
Q219142	Física
Q219207	Física
Q2297853	Física
Q2305665	Física
Q2481895	Física
Q25288	Física
Q25342	Física
Q2642081	Física
Q2945123	Física
Q29539	Física
Q3057447	Física
Q307	Física
Q313600	Física
Q3748907	Física
Q38433	Física
Q39297	Física
Q394	Física
Q39552	Física
Q40164	Física
Q41273	Física
Q4213	Física
Q42213	Física
Q44432	Física
Q44528	Física
Q46276	Física
Q47574	Física
Q48103	Física
Q487756	Física
Q50380212	Física
Q558066	Física
Q6485344	Física
Q673166	Física
Q675287	Física
Q715746	Física
Q716915	Física
Q7364	Física
Q768575	Física
Q7783183	Física
Q79782	Física
Q81809	Física
Q822938	Física
Q82580	Física
Q829564	Física
Q83219	Física
Q865920	Física
Q891408	Física
Q907823	Física
Q9128	Física
Q985318	Física
Q1006733	Geografía
Q101420429	Geografía
Q1016	Geografía
Q1019	Geografía
Q1028	Geografía
Q1032	Geografía
Q1033	Geografía
Q104021	Geografía
Q1041	Geografía
Q1045	Geografía
Q1049	Geografía
Q107425	Geografía
Q10858537	Geografía
Q1092661	Geografía
Q114	Geografía
Q11451	Geografía
Q115	Geografía
Q11708	Geografía
Q11750	Geografía
Q119716	Geografía
Q1210	Geografía
Q12143	Geografía
Q1216	Geografía
Q1222	Geografía
Q1237	Geografía
Q123991	Geografía
Q1243	Geografía
Q1246	Geografía
Q1250	Geografía
Q1256	Geografía
Q1263	Geografía
Q12707	Geografía
Q1273	Geografía
Q1279	Geografía
Q1280	Geografía
Q1282	Geografía
Q12831143	Geografía
Q12837	Geografía
Q1284	Geografía
Q1285	Geografía
Q1286	Geografía
Q13116	Geografía
Q131449	Geografía
Q1318388	Geografía
Q1410	Geografía
Q142	Geografía
Q1422116	Geografía
Q14373	Geografía
Q1438	Geografía
Q1443	Geografía
Q1447	Geografía
Q145	Geografía
Q1452	Geografía
Q1458	Geografía
Q1460	Geografía
Q1462	Geografía
Q148	Geografía
Q148993	Geografía
Q15	Geografía
Q155	Geografía
Q1569011	Geografía
Q159	Geografía
Q16	Geografía
Q160091	Geografía
Q167466	Geografía
Q17	Geografía
Q177567	Geografía
Q18	Geografía
Q183	Geografía
Q184	Geografía
Q184382	Geografía
Q188419	Geografía
Q18869	Geografía
Q189	Geografía
Q18965	Geografía
Q191	Geografía
Q191086	Geografía
Q1945600	Geografía
Q1987553	Geografía
Q20	Geografía
Q2001617	Geografía
Q202207	Geografía
Q211	Geografía
Q212	Geografía
Q21235336	Geografía
Q213	Geografía
Q214	Geografía
Q215	Geografía
Q216989	Geografía
Q217	Geografía
Q218	Geografía
Q219	Geografía
Q219060	Geografía
Q221	Geografía
Q222	Geografía
Q224	Geografía
Q225	Geografía
Q22664	Geografía
Q228	Geografía
Q228197	Geografía
Q228201	Geografía
Q229	Geografía
Q232	Geografía
Q233	Geografía
Q23397	Geografía
Q235	Geografía
Q23522	Geografía
Q236	Geografía
Q237	Geografía
Q23718	Geografía
Q238	Geografía
Q241	Geografía
Q244326	Geografía
Q245260	Geografía
Q2472587	Geografía
Q252	Geografía
Q25322	Geografía
Q258	Geografía
Q262	Geografía
Q27	Geografía
Q27381	Geografía
Q27394	Geografía
Q27407	Geografía
Q27433	Geografía
Q27468	Geografía
Q27611	Geografía
Q28	Geografía
Q29	Geografía
Q30	Geografía
Q30198	Geografía
Q3079079	Geografía
Q31	Geografía
Q32	Geografía
Q33	Geografía
Q331439	Geografía
Q3359409	Geografía
Q33829	Geografía
Q34	Geografía
Q347	Geografía
Q35	Geografía
Q35942	Geografía
Q36	Geografía
Q37	Geografía
Q37394	Geografía
Q3739874	Geografía
Q3748031	Geografía
Q3748032	Geografía
Q38	Geografía
Q38272	Geografía
Q385378	Geografía
Q38994	Geografía
Q39	Geografía
Q39731	Geografía
Q40	Geografía
Q4006	Geografía
Q4022	Geografía
Q403	Geografía
Q408	Geografía
Q41	Geografía
Q414	Geografía
Q418	Geografía
Q419	Geografía
Q42225	Geografía
Q423	Geografía
Q42320	Geografía
Q42515	Geografía
Q43	Geografía
Q43262	Geografía
Q4412	Geografía
Q45	Geografía
Q458	Geografía
Q45918	Geografía
Q46	Geografía
Q471822	Geografía
Q48	Geografía
Q485100	Geografía
Q49	Geografía
Q49389	Geografía
Q5055020	Geografía
Q51	Geografía
Q5107	Geografía
Q515	Geografía
Q52062	Geografía
Q538	Geografía
Q54050	Geografía
Q5456	Geografía
Q55	Geografía
Q55638	Geografía
Q55639	Geografía
Q55640	Geografía
Q584	Geografía
Q60140	Geografía
Q601401	Geografía
Q60670	Geografía
Q6266	Geografía
Q6583	Geografía
Q66065	Geografía
Q664	Geografía
Q667552	Geografía
Q668	Geografía
Q69564	Geografía
Q715391	Geografía
Q720060	Geografía
Q720362	Geografía
Q7204	Geografía
Q72499	Geografía
Q736	Geografía
Q7406919	Geografía
Q753858	Geografía
Q7590	Geografía
Q77120	Geografía
Q7785	Geografía
Q781650	Geografía
Q782287	Geografía
Q7892	Geografía
Q79	Geografía
Q794	Geografía
Q796	Geografía
Q801	Geografía
Q80962	Geografía
Q8148	Geografía
Q828	Geografía
Q83356	Geografía
Q843	Geografía
Q8502	Geografía
Q851	Geografía
Q877729	Geografía
Q884	Geografía
Q889	Geografía
Q900636	Geografía
Q912825	Geografía
Q924	Geografía
Q928	Geografía
Q948	Geografía
Q958	Geografía
Q96	Geografía
Q97372097	Geografía
Q974	Geografía
Q102532	Gramática
Q103184	Gramática
Q104083	Gramática
Q104394	Gramática
Q1050744	Gramática
Q1051175	Gramática
Q1084	Gramática
Q10925	Gramática
Q1094061	Gramática
Q1100446	Gramática
Q1101896	Gramática
Q110786	Gramática
Q11169	Gramática
Q112154	Gramática
Q1122094	Gramática
Q117364	Gramática
Q1194697	Gramática
Q1234617	Gramática
Q1240211	Gramática
Q12547192	Gramática
Q1317831	Gramática
Q13475484	Gramática
Q1385607	Gramática
Q1402059	Gramática
Q1419215	Gramática
Q146786	Gramática
Q147276	Gramática
Q1475560	Gramática
Q1502460	Gramática
Q1509829	Gramática
Q1520033	Gramática
Q161736	Gramática
Q162378	Gramática
Q164573	Gramática
Q16543336	Gramática
Q166764	Gramática
Q170239	Gramática
Q172008	Gramática
Q174565	Gramática
Q177449	Gramática
Q1775415	Gramática
Q177691	Gramática
Q1780774	Gramática
Q1783714	Gramática
Q178890	Gramática
Q179080	Gramática
Q179230	Gramática
Q180309	Gramática
Q181767	Gramática
Q184932	Gramática
Q187819	Gramática
Q1898328	Gramática
Q190212	Gramática
Q1923028	Gramática
Q202444	Gramática
Q207509	Gramática
Q211101	Gramática
Q216042	Gramática
Q22716	Gramática
Q2403074	Gramática
Q245423	Gramática
Q24905	Gramática
Q2511733	Gramática
Q25619773	Gramática
Q2648497	Gramática
Q27955084	Gramática
Q2824480	Gramática
Q2990574	Gramática
Q30894408	Gramática
Q32518	Gramática
Q338257	Gramática
Q3407566	Gramática
Q34698	Gramática
Q34793275	Gramática
Q3502541	Gramática
Q3502544	Gramática
Q3502553	Gramática
Q3606523	Gramática
Q3606525	Gramática
Q3614985	Gramática
Q3614989	Gramática
Q36224	Gramática
Q36244	Gramática
Q3631250	Gramática
Q36484	Gramática
Q3685146	Gramática
Q3685150	Gramática
Q3685151	Gramática
Q3685153	Gramática
Q3685154	Gramática
Q3685155	Gramática
Q3685156	Gramática
Q3685157	Gramática
Q3685158	Gramática
Q3685159	Gramática
Q3685160	Gramática
Q3685162	Gramática
Q3685163	Gramática
Q3685168	Gramática
Q3685169	Gramática
Q3685171	Gramática
Q3686414	Gramática
Q3774124	Gramática
Q380023	Gramática
Q380057	Gramática
Q38035	Gramática
Q380933	Gramática
Q3877913	Gramática
Q3886299	Gramática
Q3899904	Gramática
Q3910094	Gramática
Q3921587	Gramática
Q3923912	Gramática
Q3923915	Gramática
Q3923999	Gramática
Q3924006	Gramática
Q3924013	Gramática
Q3924014	Gramática
Q3924015	Gramática
Q3924016	Gramática
Q3924021	Gramática
Q3924022	Gramática
Q3953977	Gramática
Q3984890	Gramática
Q4009866	Gramática
Q41796	Gramática
Q436048	Gramática
Q442145	Gramática
Q442485	Gramática
Q465800	Gramática
Q468801	Gramática
Q473746	Gramática
Q474328	Gramática
Q474628	Gramática
Q4833830	Gramática
Q499327	Gramática
Q5051	Gramática
Q550383	Gramática
Q560570	Gramática
Q56682909	Gramática
Q576670	Gramática
Q577714	Gramática
Q5978303	Gramática
Q611474	Gramática
Q623742	Gramática
Q625581	Gramática
Q627319	Gramática
Q63116	Gramática
Q650250	Gramática
Q65131318	Gramática
Q682111	Gramática
Q690940	Gramática
Q728001	Gramática
Q750663	Gramática
Q8043	Gramática
Q814722	Gramática
Q8188	Gramática
Q82622	Gramática
Q830012	Gramática
Q83034	Gramática
Q852201	Gramática
Q944863	Gramática
Q956030	Gramática
Q1246315	[NULL]
Q128234	[NULL]
Q131105	[NULL]
Q138246	[NULL]
Q145599	[NULL]
Q146078	[NULL]
Q146233	[NULL]
Q1502853	[NULL]
Q15141402	[NULL]
Q156986	[NULL]
Q185077	[NULL]
Q19819479	[NULL]
Q20009493	[NULL]
Q202142	[NULL]
Q27716	[NULL]
Q3606519	[NULL]
Q3606520	[NULL]
Q3629385	[NULL]
Q3685147	[NULL]
Q3686839	[NULL]
Q3699374	[NULL]
Q3799475	[NULL]
Q3896644	[NULL]
Q3899885	[NULL]
Q3899915	[NULL]
Q3921589	[NULL]
Q3921592	[NULL]
Q3923913	[NULL]
Q3923993	[NULL]
Q3923994	[NULL]
Q3923995	[NULL]
Q3923997	[NULL]
Q3923998	[NULL]
Q3924002	[NULL]
Q3924007	[NULL]
Q3924009	[NULL]
Q3924012	[NULL]
Q3924018	[NULL]
Q3924019	[NULL]
Q3924020	[NULL]
Q3924023	[NULL]
Q3927097	[NULL]
Q3927887	[NULL]
Q3953978	[NULL]
Q3953983	[NULL]
Q397	[NULL]
Q3984892	[NULL]
Q4009863	[NULL]
Q4009868	[NULL]
Q48801296	[NULL]
Q548470	[NULL]
Q604984	[NULL]
Q731298	[NULL]
Q933483	[NULL]
Q1000462	Ciencias de la computación
Q10135	Ciencias de la computación
Q104851	Ciencias de la computación
